Species,Species_mean,.lower,.upper,.width,.point,.interval
Alchornea_costaricensis,0.377273005,-0.575108027,1.624949538,0.95,median,qi
Apeiba_membranacea,0.033171974,-1.250125408,1.402810771,0.95,median,qi
Brosimum_alicastrum,-0.038388253,-1.632337277,1.363246747,0.95,median,qi
Bursera_simaruba,-0.023650167,-1.564641334,1.530046201,0.95,median,qi
Cecropia_insignis,-0.022640893,-1.71795437,1.465952025,0.95,median,qi
Cecropia_obtusifolia,-0.040214646,-1.679874239,1.316184684,0.95,median,qi
Cedrela_odorata,0.287593271,-0.794786338,1.768007629,0.95,median,qi
Cordia_alliodora,0.314245495,-0.280155821,1.003653942,0.95,median,qi
Dipteryx_panamensis,-0.064693946,-1.704174477,1.397114373,0.95,median,qi
Genipa_americana,-0.134484964,-1.831148529,1.219861067,0.95,median,qi
Heisteria_concinna,-0.01725943,-1.573233443,1.443275926,0.95,median,qi
Hura_crepitans,-0.046233868,-1.609788345,1.350654273,0.95,median,qi
Jacaranda_copaia,0.210796623,-1.034083525,1.811957984,0.95,median,qi
Spondias_mombin,-0.077150065,-1.665034995,1.286270347,0.95,median,qi
Tabebuia_rosea,-0.054366705,-1.698121018,1.395371041,0.95,median,qi
Terminalia_amazonia,0.102484141,-1.098546885,1.456688263,0.95,median,qi
Unonopsis_pittieri,-0.017541312,-1.618358435,1.43860307,0.95,median,qi
Inga_thibaudiana,0.295933403,-0.875151964,2.04701428,0.95,median,qi
Mabea_occidentalis,-0.113654748,-1.73074609,1.141314887,0.95,median,qi
Symphonia_globulifera,-0.020913054,-1.667863976,1.528653986,0.95,median,qi
