Family,Genus,Species,TAG,DBH,Colony,Foraged,Distance,Succession
leguminosae,lonchocarpus,Lonchocarpus_oliganthus,4,26.9,1,0,13.14623696,NA
araliaceae,dendropanax,Dendropanax_arboreus,7,35.3,1,0,37.60590058,NA
myristicaceae,compsoneura,Compsoneura_sprucei,9,8.2,1,1,44.61462979,NA
apocynaceae,peschiera,Peschiera_arborea,10,61.2,1,1,4.326611117,NA
capparaceae,capparis,Capparis_pittieri,11,13.2,1,0,13.44573265,NA
capparaceae,capparis,Capparis_pittieri,12,17.3,1,0,16.97437295,NA
arecaceae,welfia,Welfia_regia,14,16.2,1,0,16.10693869,NA
rubiaceae,warscewiczia,Warscewiczia_coccinea,18,23.5,9,0,3.728946127,NA
meliaceae,guarea,Guarea_rhopalocarpa,20,24,9,0,13.34425121,NA
leguminosae,andira,Andira_inermis,21,23.9,9,1,15.54289044,n
rubiaceae,posoqueria,Posoqueria_latifolia,24,15.1,9,0,9.613957812,NA
rubiaceae,simira,Simira_maxonii,25,46.9,9,0,22.1701996,NA
malvaceae,luehea,Luehea_seemannii,26,54,9,0,34.37773304,c
sabiaceae,meliosma,Meliosma_donnell-smithii,30,19,9,0,37.4555756,NA
lauraceae,ocotea,Ocotea_hartshorniana,31,35,9,0,47.98565135,NA
leguminosae,inga,Inga_paterno,34,34.5,7,0,21.07448336,NA
elaeocarpaceae,sloanea,Sloanea_geniculata,35,37,7,1,16.79413529,NA
rubiaceae,simira,Simira_maxonii,36,50.4,7,1,6.176268749,NA
leguminosae,erythrina,Erythrina_cochleata,37,64,7,0,22.63893921,NA
leguminosae,pentaclethra,Pentaclethra_macroloba,38,74.7,5,0,27.58972215,NA
leguminosae,balizia,Balizia_elegans,39,77,5,0,27.96058505,NA
moraceae,naucleopsis,Naucleopsis_naga,41,24.2,5,0,22.7737994,NA
leguminosae,pentaclethra,Pentaclethra_macroloba,42,69,7,0,25.99819189,NA
sapotaceae,pouteria,Pouteria_glomerulata,44,46.5,5,0,11.30630965,NA
myrsinaceae,ardisia,Ardisia_granatensis,45,21.7,5,0,18.29810503,NA
myristicaceae,virola,Virola_koschnyi,46,84,5,0,30.13965973,NA
meliaceae,guarea,Guarea_rhopalocarpa,48,23.5,5,0,12.93678941,NA
apocynaceae,rauvolfia,Rauvolfia_purpurascens,49,41.3,5,1,18.33682772,NA
