Species,Foraged
Lonchocarpus_oliganthus,0
Dendropanax_arboreus,0
Compsoneura_sprucei,1
Peschiera_arborea,1
Capparis_pittieri,0
Capparis_pittieri,0
Welfia_regia,0
Warscewiczia_coccinea,0
Guarea_rhopalocarpa,0
Andira_inermis,1
Posoqueria_latifolia,0
Simira_maxonii,0
Luehea_seemannii,0
Meliosma_donnell-smithii,0
Ocotea_hartshorniana,0
Inga_paterno,0
Sloanea_geniculata,1
Simira_maxonii,1
Erythrina_cochleata,0
Pentaclethra_macroloba,0
Balizia_elegans,0
Naucleopsis_naga,0
Pentaclethra_macroloba,0
Pouteria_glomerulata,0
Ardisia_granatensis,0
Virola_koschnyi,0
Guarea_rhopalocarpa,0
Rauvolfia_purpurascens,1
Hyeronima_alchorneoides,0
Virola_koschnyi,0
Hernandia_stenura,0
Protium_panamense,0
Protium_panamense,0
Pterocarpus_rohrii,0
Pterocarpus_rohrii,0
Pterocarpus_rohrii,0
Clarisia_mexicana,1
Richeria_dressleri,0
Pentagonia_donnell-smithii,0
Warscewiczia_coccinea,0
Ocotea_meziana,0
Psychotria_panamensis,0
Pouteria_torta,1
Andira_inermis,0
Protium_panamense,0
Meliosma_donnell-smithii,0
Chrysophyllum_venezuelanense,0
Chrysophyllum_venezuelanense,0
Welfia_regia,0
Protium_costaricense,0
Swartzia_simplex,0
Capparis_pittieri,0
Cordia_alliodora,0
Ceiba_pentandra,1
Virola_koschnyi,1
Chrysophyllum_venezuelanense,0
Sorocea_pubivena,0
Miconia_multispicata,0
Protium_panamense,0
Lacmellea_panamensis,1
Brosimum_lactescens,0
Castilla_elastica,0
Goethalsia_meiantha,0
Stryphnodendron_microstachyum,0
Stryphnodendron_microstachyum,0
Pentaclethra_macroloba,0
Bactris_coloradensis,0
Macrolobium_costaricense,0
Macrolobium_costaricense,0
Sacoglottis_trichogyna,1
Pentaclethra_macroloba,0
Welfia_regia,0
Simira_maxonii,0
Simira_maxonii,0
Terminalia_oblonga,1
Simira_maxonii,0
Stryphnodendron_microstachyum,1
Stryphnodendron_microstachyum,0
Stryphnodendron_microstachyum,0
Cedrela_odorata,1
Cedrela_odorata,1
Ampelocera_macrocarpa,0
Rollinia_pittieri,0
Rollinia_pittieri,0
Cedrela_odorata,0
Terminalia_amazonia,0
Guatteria_aeruginosa,0
Lonchocarpus_oliganthus,1
Sapium_glandulosum,1
Cassipourea_elliptica,0
Genipa_americana,0
Simira_maxonii,0
Simira_maxonii,1
Simira_maxonii,0
Simira_maxonii,0
Simira_maxonii,1
Simira_maxonii,0
Herrania_purpurea,0
Hymenolobium_mesoamericanum,0
Cordia_alliodora,0
Pentaclethra_macroloba,0
Pentaclethra_macroloba,0
