"","Species","Foraged","Species_mean","foraged"
"1","Abarema macradenia","0",-0.0834015519006938,0
"2","Aegiphila falcata","1",0.264752771579262,1
"3","Alchornea costaricensis","1",0.377273005202666,1
"4","Alchornea sp","0",-0.0331557911549633,0
"5","Alchorneopsis floribunda","1",0.302016205536663,1
"6","Ampelocera macrocarpa","0",-0.137809093740841,0
"7","Andira inermis","1",0.267090290290981,1
"8","Apeiba membranacea","1",0.0331719741336258,1
"9","Aspidosperma spruceanum","0",-0.0809155580715431,0
"10","Bravaisia integerrima","0",-0.0496993071748827,0
"11","Brosimum alicastrum","0",-0.0383882531602937,0
"12","Brosimum lactescens","0",-0.101438386793044,0
"13","Bursera simaruba","0",-0.023650167223824,0
"14","Calophyllum brasiliense","0",-0.0252363618201897,0
"15","Calyptrogyne ghiesbreghtiana","0",-0.00836246550721739,0
"16","Capparis pittieri","0",-0.150219527874779,0
"17","Carapa guianensis","0",-0.0380041191666331,0
"18","Casearia arborea","1",0.279340082491638,1
"19","Casearia commersoniana","0",-0.0514832290532993,0
"20","Casearia corymbosa","1",0.130501236331122,1
"21","Casearia sylvestris","0",-0.0170479247102685,0
"22","Cassipourea elliptica","0",-0.0848420276242847,0
"23","Castilla elastica","0",-0.377937173372016,0
"24","Cecropia insignis","0",-0.0226408925315854,0
"25","Cecropia obtusifolia","0",-0.0402146460633713,0
"26","Cedrela odorata","1",0.287593271297644,1
"27","Ceiba pentandra","1",0.194391294603177,1
"28","Celtis schippii","0",-0.0311621869418857,0
"29","Cestrum megalophyllum","0",-0.0234570040526607,0
"30","Chimarrhis parviflora","0",-0.0453875438264454,0
"31","Chrysophyllum venezuelanense","0",-0.343522289232068,0
"32","Clarisia mexicana","1",0.720637396566734,1
"33","Cojoba catenata","0",-0.088998615273754,0
"34","Colubrina spinosa","0",-0.261841844023701,0
"35","Compsoneura sprucei","1",0.257166054408519,1
"36","Conceveiba pleiostemona","1",0.253313212590476,1
"37","Cordia alliodora","1",0.31424549450119,1
"38","Cordia bicolor","0",-0.0375096180025247,0
"39","Cordia dwyeri","0",-0.267107195614086,0
"40","Cordia eriostigma","0",-0.0236403333687593,0
"41","Coussarea hondensis","0",-0.0973975319074694,0
"42","Coussarea sp","1",0.37894488582008,1
"43","Croton schiedeanus","0",-0.0457421320703795,0
"44","Cryosophila warscewiczii","0",-0.0529935274976525,0
"45","Cupania cinerea","0",-0.0247111763403167,0
"46","Cyclanthus bipartitus","0",-0.0243452300054951,0
"47","Cymbopetalum torulosum","0",-0.0366109232782576,0
"48","Dendropanax arboreus","1",0.555845789992065,1
"49","Dendropanax stenodontus","0",-0.0313490858052259,0
"50","Desmopsis microcarpa","0",-0.0425062891664478,0
"51","Dichapetalum stipulatum","0",-0.0613841742065317,0
"52","Dinizia excelsa","0",-0.0285146663208588,0
"53","Dipteryx panamensis","0",-0.0646939457604301,0
"54","Drypetes variabilis","1",0.289243354938276,1
"55","Dussia macroprophyllata","0",-0.153909811012331,0
"56","Dussia tessmannii","0",-0.059092702827679,0
"57","Erythroxylon sp","0",-0.0323269857651659,0
"58","Eschweilera calyculata","1",0.338439386298079,1
"59","Eugenia sp","0",-0.0072165724172206,0
"60","Faramea multiflora","0",-0.0474292341864224,0
"61","Faramea parvibractea","0",-0.00633132462305338,0
"62","Ficus maxima","1",0.146897727053157,1
"63","Ficus tonduzii","0",-0.0240382310950372,0
"64","Ficus turrialbano","1",0.372694422808284,1
