Species,foraged,Species_mean
Abarema_macradenia,0,-0.083401552
Aegiphila_falcata,1,0.264752772
Alchornea_costaricensis,1,0.377273005
Alchornea_sp,0,-0.033155791
Alchorneopsis_floribunda,1,0.302016206
Ampelocera_macrocarpa,0,-0.137809094
Andira_inermis,1,0.26709029
Apeiba_membranacea,1,0.033171974
Aspidosperma_spruceanum,0,-0.080915558
Bravaisia_integerrima,0,-0.049699307
Brosimum_alicastrum,0,-0.038388253
Brosimum_lactescens,0,-0.101438387
Bursera_simaruba,0,-0.023650167
Calophyllum_brasiliense,0,-0.025236362
Calyptrogyne_ghiesbreghtiana,0,-0.008362466
Capparis_pittieri,0,-0.150219528
Carapa_guianensis,0,-0.038004119
Casearia_arborea,1,0.279340082
Casearia_commersoniana,0,-0.051483229
Casearia_corymbosa,1,0.130501236
Casearia_sylvestris,0,-0.017047925
Cassipourea_elliptica,0,-0.084842028
Castilla_elastica,0,-0.377937173
Cecropia_insignis,0,-0.022640893
Cecropia_obtusifolia,0,-0.040214646
Cedrela_odorata,1,0.287593271
Ceiba_pentandra,1,0.194391295
Celtis_schippii,0,-0.031162187
Cestrum_megalophyllum,0,-0.023457004
Chimarrhis_parviflora,0,-0.045387544
Chrysophyllum_venezuelanense,0,-0.343522289
Clarisia_mexicana,1,0.720637397
Cojoba_catenata,0,-0.088998615
Colubrina_spinosa,0,-0.261841844
Compsoneura_sprucei,1,0.257166054
Conceveiba_pleiostemona,1,0.253313213
Cordia_alliodora,1,0.314245495
Cordia_bicolor,0,-0.037509618
Cordia_dwyeri,0,-0.267107196
Cordia_eriostigma,0,-0.023640333
Coussarea_hondensis,0,-0.097397532
Coussarea_sp,1,0.378944886
Croton_schiedeanus,0,-0.045742132
Cryosophila_warscewiczii,0,-0.052993527
Cupania_cinerea,0,-0.024711176
Cyclanthus_bipartitus,0,-0.02434523
Cymbopetalum_torulosum,0,-0.036610923
Dendropanax_arboreus,1,0.55584579
Dendropanax_stenodontus,0,-0.031349086
Desmopsis_microcarpa,0,-0.042506289
Dichapetalum_stipulatum,0,-0.061384174
Dinizia_excelsa,0,-0.028514666
Dipteryx_panamensis,0,-0.064693946
Drypetes_variabilis,1,0.289243355
Dussia_macroprophyllata,0,-0.153909811
Dussia_tessmannii,0,-0.059092703
Erythroxylon_sp,0,-0.032326986
Eschweilera_calyculata,1,0.338439386
Eugenia_sp,0,-0.007216572
Faramea_multiflora,0,-0.047429234
Faramea_parvibractea,0,-0.006331325
Ficus_maxima,1,0.146897727
Ficus_tonduzii,0,-0.024038231
Ficus_turrialbano,1,0.372694423
Genipa_americana,0,-0.134484964
Goethalsia_meiantha,1,-0.375326564
Guarea_bullata,0,-0.20659779
Guarea_rhopalocarpa,0,-0.269572341
Guarea_sp,0,-0.065215697
Guatteria_aeruginosa,0,-0.046764696
Guatteria_diospyriodes,0,-0.017292333
