,X,DBH,Foraged,Colony,Species,Distance
1,1,1,0,4,Tabebuia_guayacan,22.54532546
2,2,1.1,0,9,Cymbopetalum_torulosum,32.40519092
3,3,1.1,0,9,Cymbopetalum_torulosum,26.79658907
4,4,1.1,0,9,Cymbopetalum_torulosum,26.79658907
5,5,1.1,0,9,Cymbopetalum_torulosum,32.40519092
6,6,1.1,0,9,Pouteria_glomerulata,32.40519092
7,7,1.1,0,9,Pouteria_glomerulata,26.79658907
8,8,1.1,0,9,Pouteria_glomerulata,26.79658907
9,9,1.1,0,9,Pouteria_glomerulata,32.40519092
10,10,1.2,0,1,Aspidosperma_spruceanum,34.32560738
11,11,1.2,0,1,Aspidosperma_spruceanum,5.110994411
12,12,1.2,0,9,Ocotea_atirrensis,5.110994411
13,13,1.2,0,9,Ocotea_atirrensis,34.32560738
14,14,1.3,0,9,Perebea_angustifolia,34.36493648
15,15,1.4,0,5,Inga_ruiziana,11.79313312
16,16,1.5,0,4,Hamelia_xerocarpa,59.93224341
17,17,1.6,0,1,Otoba_novogranatensis,28.30683663
18,18,1.6,0,1,Otoba_novogranatensis,12.98913547
19,19,1.6,0,1,Otoba_novogranatensis,11.55301162
20,20,1.6,0,1,Otoba_novogranatensis,20.50153827
21,21,1.6,0,1,Otoba_novogranatensis,18.2131447
22,22,1.6,0,1,Otoba_novogranatensis,42.0839081
23,23,1.6,0,4,Pouteria_torta,11.55301162
24,24,1.6,0,4,Pouteria_torta,42.0839081
25,25,1.6,0,4,Pouteria_torta,12.98913547
26,26,1.6,0,4,Pouteria_torta,20.50153827
27,27,1.6,0,4,Pouteria_torta,18.2131447
28,28,1.6,0,4,Pouteria_torta,28.30683663
29,29,1.6,0,5,Inga_tonduzii,11.55301162
30,30,1.6,0,5,Inga_tonduzii,12.98913547
31,31,1.6,0,5,Inga_tonduzii,18.2131447
32,32,1.6,0,5,Inga_tonduzii,20.50153827
33,33,1.6,0,5,Inga_tonduzii,42.0839081
34,34,1.6,0,5,Inga_tonduzii,28.30683663
35,35,1.6,0,9,Ixora_nicaraguensis,11.55301162
36,36,1.6,0,9,Ixora_nicaraguensis,20.50153827
37,37,1.6,0,9,Ixora_nicaraguensis,18.2131447
