Family_f,Species_f
Leguminosae,Abarema macradenia
Leguminosae,Abarema macradenia
Verbenaceae,Aegiphila falcata
Leguminosae,Albizia adinocephala
Euphorbiaceae,Alchornea costaricensis
Euphorbiaceae,Alchornea costaricensis
Euphorbiaceae,Alchornea costaricensis
Euphorbiaceae,Alchornea costaricensis
Euphorbiaceae,Alchornea sp
Euphorbiaceae,Alchorneopsis floribunda
Ulmaceae,Ampelocera macrocarpa
Leguminosae,Andira inermis
Leguminosae,Andira inermis
Tiliaceae,Apeiba membranacea
Myrsinaceae,Ardisia auriculata
Myrsinaceae,Ardisia granatensis
Myrsinaceae,Ardisia nigropunctata
Myrsinaceae,Ardisia sp.
Apocynaceae,Aspidosperma spruceanum
Arecaceae,Bactris coloradensis
Leguminosae,Balizia elegans
Acanthaceae,Bravaisia integerrima
Moraceae,Brosimum alicastrum
Moraceae,Brosimum lactescens
Malphigiaceae,Bunchosia ocellata
Bombacaceae,Bursera simaruba
Bignoniaceae,Calophyllum brasiliense
Arecaceae,Calyptrogyne ghiesbreghtiana
Capparaceae,Capparis pittieri
Capparaceae,Capparis pittieri
Meliaceae,Carapa guianensis
Flacourtiaceae,Casearia arborea
Flacourtiaceae,Casearia commersoniana
Salicaceae,Casearia corymbosa
Salicaceae,Casearia corymbosa
Flacourtiaceae,Casearia sylvestris
Leguminosae,Cassia papillosa
Arecaceae,Cassipourea elliptica
Euphorbiaceae,Cassipourea elliptica
Moraceae,Castilla elastica
Moraceae,Castilla elastica
Moraceae,Castilla elastica
Moraceae,Castilla elastica
Cecropiaceae,Cecropia insignis
Cecropiaceae,Cecropia obtusifolia
Cecropiaceae,Cecropia obtusifolia
Meliaceae,Cedrela odorata
Malvaceae,Ceiba pentandra
Malvaceae,Ceiba pentandra
Ulmaceae,Celtis schippii
Solanaceae,Cestrum megalophyllum
Rubiaceae,Chimarrhis parviflora
Sapotaceae,Chrysophyllum venezuelanense
Sapotaceae,Chrysophyllum venezuelanense
Moraceae,Clarisia mexicana
Moraceae,Clarisia mexicana
Moraceae,Clarisia mexicana
Moraceae,Clarisia mexicana
Leguminosae,Cojoba catenata
Leguminosae,Cojoba valerioi
Leguminosae,Cojoba valerioi
Leguminosae,Colubrina spinosa
Rhamnaceae,Colubrina spinosa
Rhamnaceae,Colubrina spinosa
Myristicaceae,Compsoneura sprucei
Myristicaceae,Compsoneura sprucei
Myristicaceae,Compsoneura sprucei
Euphorbiaceae,Conceveiba pleiostemona
Boraginaceae,Cordia alliodora
Boraginaceae,Cordia alliodora
Boraginaceae,Cordia alliodora
Boraginaceae,Cordia alliodora
Boraginaceae,Cordia bicolor
Boraginaceae,Cordia dwyeri
Boraginaceae,Cordia dwyeri
Boraginaceae,Cordia dwyeri
Boraginaceae,Cordia eriostigma
Rubiaceae,Coussarea hondensis
Rubiaceae,Coussarea sp
Euphorbiaceae,Croton schiedeanus
Arecaceae,Cryosophila warscewiczii
Sapindaceae,Cupania cinerea
Annonaceae,Cymbopetalum torulosum
Araliaceae,Dendropanax arboreus
Araliaceae,Dendropanax stenodontus
Araliaceae,Dendropanax stenodontus
Annonaceae,Desmopsis microcarpa
Annonaceae,Desmopsis microcarpa
Dichapetalaceae,Dichapetalum stipulatum
Dichapetalaceae,Dichapetalum stipulatum
Leguminosae,Dinizia excelsa
Burseraceae,Dipteryx panamensis
Putranjivaceae,Drypetes variabilis
Putranjivaceae,Drypetes variabilis
Bombacaceae,Durio zibethianus
Leguminosae,Dussia macroprophyllata
Leguminosae,Dussia tessmannii
Leguminosae,Erythrina cochleata
Leguminosae,Erythrina cochleata
Leguminosae,Erythrina cochleata
Erythroxylaceae,Erythroxylon sp.
Erythroxylaceae,Erythroxylon sp.
Lecythidaceae,Eschweilera calyculata
Myrtaceae,Eugenia sp.
Rubiaceae,Faramea multiflora
Rubiaceae,Faramea parvibractea
Moraceae,Ficus maxima
Moraceae,Ficus maxima
Moraceae,Ficus tonduzii
Moraceae,Ficus turrialbano
Rubiaceae,Genipa americana
Arecaceae,Geonoma longevaginata
Malvaceae,Goethalsia meiantha
Malvaceae,Goethalsia meiantha
Meliaceae,Guarea bullata
Meliaceae,Guarea rhopalocarpa
Meliaceae,Guarea rhopalocarpa
Meliaceae,Guarea sp
Annonaceae,Guatteria aeruginosa
